fuente,nit,nit-razon social,Sector,ut,ventas
,800005557,800005557 - Kamle Bustos Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,147
,800005591,800005591 - Inversiones De Capital Inmobiliario Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,822
,800005727,800005727 - Distribuciones Clinicas Sociedades Anonimas Disclinica Sa,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",,4890
,800006286,800006286 - Prohesa Sas En Reorganizacion,C1311 - Preparación e hilatura de fibras textiles,,9803
,800006332,800006332 - Arquimuebles Sas,C3110 - Fabricación de muebles,,3125
,800006583,800006583 - Rx Sa,G4669 - Comercio al por mayor de otros productos n.c.p.,,56127
,800006785,800006785 - Perea Y Cia Sas,F4312 - Preparación del terreno,,32834
,800006911,800006911 - Walter Bridge Y Cia Sa,S9512 - Mantenimiento y reparación de equipos de comunicación,,21936
,800006931,800006931 - Telsat Sas,C3290 - Otras industrias manufactureras n.c.p.,,154
,800007193,800007193 - Sapuga S.A.,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,,116101
,800007202,800007202 - Altalene Sas,C2229 - Fabricación de artículos de plástico n.c.p.,,46058
,800007208,800007208 - Grupo Posso Sas,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,,7708
,800007310,800007310 - Textiles Blondatex Sas,C1312 - Tejeduría de productos textiles,,5247
,800007359,800007359 - Almacenes Hj Sas,"G4742 - Comercio al por menor de equipos y aparatos de sonido y de video, en establecimientos especializados",,22321
,800007367,800007367 - Hidroyunda Sas,F4390 - Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil,,22207
,800007423,800007423 - Sanchez Blanco Y Cia Sas,F4111 - Construcción de edificios residenciales,,834
,800007455,800007455 - Inversiones Llano Hermoso Sas,F4111 - Construcción de edificios residenciales,,11076
,800007673,800007673 - Iinversiones Correa Echandia Y Cia S En C,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,1366
,800007983,800007983 - Distribuidora Electrojapones Sas,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",,20544
,800008116,800008116 - Horizontal De Aviacion Sas En Reorganizacion,"H5223 - Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo",,4908
,800008538,800008538 - Inversiones Las Pilas S.A.S,A0141 - Cría de ganado bovino y bufalino,,6391
,800008639,800008639 - Inessman Ltda,C3312 - Mantenimiento y reparación especializado de maquinaria y equipo,,2914
,800008776,800008776 - Central Quimica S.A.S.,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",,1050
,800008801,800008801 - Palmeras Cararabo S.A.,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,,16420
,800008833,800008833 - Direcciones Creativas S A S,K6619 - Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,,22
,800008964,800008964 - Randys Ltda,I5611 - Expendio a la mesa de comidas preparadas,,13188
,800009345,800009345 - Urbanizacion Marbella S.A.,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,1412
,800009591,800009591 - Inversiones Bocagrande S.A.,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,461
,800009612,800009612 - Juan Harker S Y Compañia Ltda,F4290 - Construcción de otras obras de ingeniería civil,,77
,800009778,800009778 - Mundiastur S.A.S,N7990 - Otros servicios de reserva y actividades relacionadas,,740
,800009802,800009802 - Procesos Especiales De Lavado Para La Confeccion Sas,C1313 - Acabado de productos textiles,,10965
,800009816,800009816 - Palmeras San Antonio S.A.,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,,2435
,800009830,800009830 - Corporacioninternacional Terranova Sa,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,1003
,800009973,800009973 - Luavaga Sas,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,,12805
,800010006,800010006 - Fruticola Apulo Ltda,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,116
,800010028,800010028 - Diseños Interventorias Y Servicios S.A.S.,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,,4832
,800010284,800010284 - Contajuri S A S,"M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",,512
,800010298,800010298 - Castillo Gutierrez Sas,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,,7962
,800010573,800010573 - Cobrico Sas,F4111 - Construcción de edificios residenciales,,83
,800010634,800010634 - Productos Juliao Sas,C2029 - Fabricación de otros productos químicos n.c.p.,,9356
,800010668,800010668 - Autoservicio El Perdomo Sas,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,80936
,800010701,800010701 - Luis Estrada Y Cia Sucesores Sas,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,,14233
,800010923,800010923 - Hl Gestiones Y Co Sa En Reorganizacion,M7111 - Actividades de arquitectura,,51
,800010950,800010950 - Compañia Pecuaria Agricola Sas,A0121 - Cultivo de frutas tropicales y subtropicales,,13956
,800010961,800010961 - Norcarbon Sociedad Por Acciones Simplificada,B0510 - Extracción de hulla (carbón de piedra),,12373
,800010972,800010972 - Foto Del Oriente Ltda En Reorganizacion,M7420 - Actividades de fotografía,,10625
