fuente,nit,nit-razon social,Sector,ut,ventas
Clientes,800139545,800139545 - La S.A. Sociedad De Apoyo Aeronautico S.A.,H5229 - Otras actividades complementarias al transporte,1159.0,129565
Clientes,811020576,811020576 - Choucair Cardenas Testing S.A,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",1121.0,39230
prospectos,890938755,890938755 - Ci Flores De La Vega Sas,A0125 - Cultivo de flor de corte,1100.0,80354
prospectos,901303824,901303824 - Inversiones Mcn Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,1100.0,83200
Clientes,830144572,830144572 - Qtech Sas,"G4741 - Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",1082.0,4376
Clientes,890913319,890913319 - Cesde Sas,P8551 - Formación para el trabajo,1072.0,46130
Clientes,891401858,891401858 - Operadora Avicola Colombia S.A.S.,A0145 - Cría de aves de corral,1001.0,766705
prospectos,800229035,800229035 - Tecnoglass S.A.S.,C2310 - Fabricación de vidrio y productos de vidrio,1000.0,1530535
prospectos,805018495,805018495 - Cerdos Del Valle Sa,A0144 - Cría de ganado porcino,1000.0,471253
prospectos,860000135,860000135 - Azul K Sas,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",1000.0,508236
prospectos,860002067,860002067 - Proquinal S.A.S,C1399 - Fabricación de otros artículos textiles n.c.p.,1000.0,285545
prospectos,860019063,860019063 - Motores Y Máquinas S.A. Bic,G4511 - Comercio de vehículos automotores nuevos,1000.0,590400
prospectos,860055557,860055557 - Palmar Del Oriente Sas,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,1000.0,62492
prospectos,860521637,860521637 - Organizacion Cardenas Sas,G4631 - Comercio al por mayor de productos alimenticios,1000.0,253111
prospectos,890900082,890900082 - Eduardoño Sas,G4690 - Comercio al por mayor no especializado,1000.0,229900
Clientes,890901271,890901271 - Contegral S.A.S.,C1090 - Elaboración de alimentos preparados para animales,1000.0,3278730
prospectos,900129331,900129331 - |Emc Information Systems Colombia Ltda,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",1000.0,51681
prospectos,900185062,900185062 - Estrategias Contact Center Colombia,N8220 - Actividades de centros de llamadas (call center),1000.0,87891
prospectos,900327256,900327256 - Matrix Giros Y Servicios Sas,H5310 - Actividades postales nacionales,1000.0,27902
