PROSPECTOS.Fuente,NIT,Nit-Razon Social,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),UT,02.Ingreso Actividades Ordinarias,02.Promedio de Ingreso Actividades Ordinarias,05. Utilidad Bruta,01. Deuda,01.Patrimonio
prospectos,900819727,900819727 - Pes Colombia Saspes Colombia Sas,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,250,$593984,$296992,$0,$0,$51462
Clientes,901326481,901326481 - Siemens Energy Sas,C2790 - Fabricación de otros tipos de equipo eléctrico n.c.p.,250,$2228577,$742859,$345309,$162347,$572112
Clientes,830067414,830067414 - Kaeser Compresores De Colombia Sas,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,242,$784018,$156804,$294174,$255649,$368786
prospectos,800032071,800032071 - Embotelladora Capri Ltda En Reorganizacion,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",216,$231734,$57933,$62852,,$80497
prospectos,860047379,860047379 - Cfc Cafarcol Sas,G4690 - Comercio al por mayor no especializado,211,$182805,$45701,$48236,$94326,$32698
prospectos,800119647,800119647 - Petrocasinos Sa,I5629 - Actividades de otros servicios de comidas,200,$351834,$87958,$51738,$22294,$203786
prospectos,804016642,804016642 - Industrias Bicicletas Milan Sa,C3092 - Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad,200,$456299,$91260,$84571,$252047,$120950
prospectos,830001338,830001338 - Sumimas Sas,G4649 - Comercio al por mayor de otros utensilios domésticos n.c.p.,200,$535225,$133806,$149886,$139780,$179951
prospectos,830056202,830056202 - Labcare De Colombia S.A.S,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",200,$218569,$54642,$104340,$1432,$126451
prospectos,860401826,860401826 - Productos Alimenticios El Recreo S.A.S.,C1040 - Elaboración de productos lácteos,200,$1131290,$282822,$205607,$154973,$182629
prospectos,890211777,890211777 - Construcciones Marval S.A.S,F4111 - Construcción de edificios residenciales,200,$1941316,$388263,$722701,$307310,$3068101
prospectos,900027833,900027833 - Mathiesen Colombia Sas,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",200,$269371,$67343,$34904,$27148,$74214
prospectos,900156826,900156826 - Ofix Suministros  Y Logistica Sas,G4690 - Comercio al por mayor no especializado,200,$489454,$97891,$127162,,$151282
Clientes,900166896,900166896 - Hino Motors Manufacturing Colombia S.A.S.,C2910 - Fabricación de vehículos automotores y sus motores,200,$2167697,$541924,$99306,$221376,$286057
